# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Sun Jun  7 12:18:13 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00042777 -1.56000 10.14613 0.0900000036 1.0816895962    0.090 -3.184  3.4774  5.437    1  0.000  0.545     0.00     0.00 -1 -2.36e-17      0.00 7.476e-01 2.519e-01 8.072e-05 2.178e-05 1.975e-04 -1.000 4.489e-04 12.729 20.082 17.333 15.330 13.643 12.041 10.745 10.449 10.352
0.00042777 -1.56000 10.14613 0.0941690952 1.1204661131    0.094 -3.053  3.4961  5.401    1  0.000  0.545     0.00     0.00 -1  -3.7e-17      0.00 7.467e-01 2.529e-01 8.072e-05 2.178e-05 1.975e-04 -1.000 4.489e-04 12.403 18.862 16.522 14.568 13.109 11.710 10.485 10.105 9.991
0.00042777 -1.56000 10.14613 0.1000000015 1.1711064577    0.100 -2.880  3.5208  5.354    1  0.000  0.545     0.00     0.00 -1 -5.25e-17      0.00 7.454e-01 2.542e-01 8.072e-05 2.178e-05 1.975e-04 -1.000 4.489e-04 11.971 17.405 15.520 13.693 12.439 11.274 10.137 9.677 9.539
0.00042777 -1.56000 10.14613 0.1199999973 1.3193154335    0.120 -2.593  3.5519  5.270    1  0.000  0.545     0.00     0.00 -1 -1.72e-16      0.00 7.422e-01 2.574e-01 8.072e-05 2.178e-05 1.975e-04 -1.000 4.490e-04 11.253 15.628 14.173 12.572 11.481 10.550 9.521 8.998 8.836
0.00042777 -1.56000 10.14613 0.1400000006 1.4384527206    0.140 -2.410  3.5671  5.214    1  0.000  0.545     0.00     0.00 -1 -2.22e-16      0.00 7.399e-01 2.597e-01 8.072e-05 2.178e-05 1.975e-04 -1.000 4.489e-04 10.795 14.714 13.439 11.952 10.929 10.091 9.112 8.570 8.396
0.00042777 -1.56000 10.14613 0.1599999964 1.5372931957    0.160 -2.266  3.5772  5.169    1  0.000  0.545     0.00     0.00 -1 -1.98e-16      0.00 7.384e-01 2.611e-01 8.072e-05 2.178e-05 1.975e-04 -1.000 4.489e-04 10.435 14.080 12.911 11.497 10.518 9.729 8.784 8.232 8.051
0.00042777 -1.56000 10.14613 0.2000000179 1.6938792467    0.200 -2.044  3.5902  5.096    1  0.000  0.545     0.00     0.00 -1 -7.19e-16      0.00 7.373e-01 2.622e-01 8.072e-05 2.178e-05 1.975e-04 -1.000 4.489e-04 9.880 13.186 12.150 10.828 9.908 9.173 8.268 7.707 7.519
0.00042777 -1.56000 10.14613 0.2203446031 1.7586631775    0.220 -1.956  3.5950  5.069    1  0.000  0.545     0.00     0.00 -1 -3.77e-17      0.00 7.374e-01 2.621e-01 8.072e-05 2.178e-05 1.975e-04 -1.000 4.490e-04 9.661 12.854 11.861 10.570 9.671 8.953 8.063 7.500 7.311
0.00042777 -1.56000 10.14613 0.2500000298 1.8403259516    0.250 -1.842  3.6013  5.035    1  0.000  0.545     0.00     0.00 -1 -6.13e-19      0.00 7.375e-01 2.620e-01 8.072e-05 2.178e-05 1.975e-04 -1.000 4.489e-04 9.375 12.424 11.485 10.234 9.363 8.665 7.794 7.230 7.042
0.00042777 -1.56000 10.14613 0.3000000417 1.9529141188    0.300 -1.688  3.6099  4.995    1  0.000  0.545     0.00     0.00 -1 -6.05e-20      0.00 7.377e-01 2.619e-01 8.070e-05 2.178e-05 1.975e-04 -1.000 4.489e-04 8.990 11.852 10.983 9.784 8.951 8.278 7.434 6.868 6.684
0.00042777 -1.56000 10.14613 0.3303408623 2.0099673271    0.330 -1.610  3.6146  4.977    1  0.000  0.545     0.00     0.00 -1 -7.47e-19      0.00 7.376e-01 2.620e-01 8.068e-05 2.178e-05 1.975e-04 -1.000 4.656e-04 8.795 11.562 10.728 9.555 8.741 8.081 7.251 6.685 6.506
0.00042777 -1.56000 10.14613 0.3500000238 2.0434176922    0.350 -1.563  3.6175  4.967    1  0.000  0.544     0.00     0.00 -1 -2.72e-18      0.00 7.375e-01 2.620e-01 8.067e-05 2.178e-05 1.975e-04 -1.000 4.676e-04 8.677 11.389 10.574 9.418 8.615 7.963 7.141 6.575 6.399
0.00042777 -1.56000 10.14613 0.3842833340 2.0962779522    0.384 -1.463  3.6253  4.938    1  0.000  0.545     0.00     0.00 -1 -1.41e-16      0.00 7.464e-01 2.532e-01 8.071e-05 2.178e-05 1.975e-04 -1.000 4.570e-04 8.426 10.985 10.226 9.112 8.341 7.711 6.911 6.346 6.178
0.00042777 -1.56000 10.14613 0.4000000358 2.1185026169    0.400 -1.419  3.6287  4.926    1  0.000  0.545     0.00     0.00 -1 -2.61e-15      0.00 7.503e-01 2.493e-01 8.072e-05 2.178e-05 1.975e-04 -1.000 4.489e-04 8.318 10.811 10.077 8.980 8.223 7.603 6.812 6.247 6.083
0.00042777 -1.56000 10.14613 0.4500000477 2.1822810173    0.450 -1.245  3.6474  4.877    1  0.000  0.545     0.00     0.00 -1  -7.4e-16      0.00 7.505e-01 2.491e-01 8.072e-05 2.178e-05 1.975e-04 -1.000 4.490e-04 7.881 10.028 9.425 8.423 7.738 7.166 6.426 5.874 5.732
0.00042777 -1.56000 10.14613 0.5000000000 2.2374541759    0.500 -1.047  3.6731  4.828    1  0.000  0.545     0.00     0.00 -1 -5.63e-15      0.00 7.505e-01 2.491e-01 8.072e-05 2.178e-05 1.975e-04 -1.000 4.489e-04 7.388 9.067 8.668 7.783 7.189 6.679 6.011 5.496 5.380
0.00042777 -1.56000 10.14613 0.5500000715 2.2836585045    0.550 -0.824  3.6979  4.746    1  0.000  0.544     0.00     0.00 -1 -9.42e-17      0.00 7.904e-01 2.092e-01 6.862e-05 1.853e-05 1.682e-04 -1.000 3.800e-04 6.831 8.084 7.899 7.112 6.595 6.135 5.542 5.081 4.983
0.00042777 -1.56000 10.14613 0.6000000238 2.3211214542    0.600 -0.603  3.7271  4.679    1  0.000  0.543     0.00     0.00 -1 -1.85e-14      0.00 8.032e-01 1.965e-01 6.499e-05 1.756e-05 1.595e-04 -1.000 3.660e-04 6.277 7.129 7.149 6.471 6.025 5.614 5.103 4.703 4.624
0.00042777 -1.56000 10.14613 0.6047797799 2.3243315220    0.604 -0.581  3.7302  4.673    1  0.000  0.543     0.00     0.00 -1 -1.95e-14      0.00 8.046e-01 1.950e-01 6.459e-05 1.745e-05 1.585e-04 -1.000 3.657e-04 6.221 7.036 7.074 6.409 5.969 5.563 5.061 4.666 4.589
0.00042777 -1.56000 10.14613 0.6143733859 2.3306016922    0.614 -0.535  3.7363  4.659    1  0.000  0.543     0.00     0.00 -1 -2.76e-25      0.00 8.075e-01 1.921e-01 6.376e-05 1.723e-05 1.565e-04 -1.000 3.648e-04 6.109 6.856 6.928 6.284 5.857 5.460 4.974 4.590 4.517
0.00042777 -1.56000 10.14613 0.6232900620 2.3362309933    0.623 -0.493  3.7419  4.645    1  0.000  0.543     0.00     0.00 -1 -6.83e-23      0.00 8.104e-01 1.893e-01 6.296e-05 1.702e-05 1.546e-04 -1.000 3.563e-04 6.003 6.692 6.792 6.168 5.752 5.365 4.892 4.518 4.448
0.00042777 -1.56000 10.14613 0.6319782138 2.3415405750    0.632 -0.451  3.7472  4.631    1  0.000  0.543     0.00     0.00 -1 -4.95e-20      0.00 8.132e-01 1.864e-01 6.215e-05 1.680e-05 1.527e-04 -1.000 3.544e-04 5.899 6.537 6.661 6.056 5.651 5.272 4.811 4.445 4.380
0.00042777 -1.56000 10.14613 0.6418566704 2.3473770618    0.642 -0.404  3.7532  4.613    1  0.000  0.542     0.00     0.00 -1 -8.09e-17      0.00 8.166e-01 1.830e-01 6.120e-05 1.655e-05 1.504e-04 -1.000 3.563e-04 5.779 6.361 6.511 5.928 5.536 5.167 4.719 4.361 4.301
0.00042777 -1.56000 10.14613 0.6499999762 2.3520355225    0.650 -0.363  3.7580  4.598    1  0.000  0.542     0.00     0.00 -1 -3.04e-14      0.00 8.195e-01 1.802e-01 6.039e-05 1.634e-05 1.485e-04 -1.000 3.535e-04 5.678 6.216 6.386 5.822 5.439 5.079 4.642 4.291 4.235
0.00042777 -1.56000 10.14613 0.6524701118 2.3534219265    0.652 -0.351  3.7593  4.593    1  0.000  0.542     0.00     0.00 -1 -3.06e-14      0.00 8.206e-01 1.791e-01 6.008e-05 1.626e-05 1.477e-04 -1.000 3.505e-04 5.647 6.173 6.348 5.789 5.410 5.051 4.618 4.269 4.214
0.00042777 -1.56000 10.14613 0.6625941992 2.3589811325    0.662 -0.299  3.7649  4.570    1  0.000  0.542     0.00     0.00 -1 -1.32e-14      0.00 8.252e-01 1.744e-01 5.878e-05 1.591e-05 1.446e-04 -1.000 3.372e-04 5.518 6.000 6.194 5.655 5.286 4.937 4.515 4.173 4.123
0.00042777 -1.56000 10.14613 0.6720264554 2.3639874458    0.672 -0.249  3.7700  4.546    1  0.000  0.542     0.00     0.00 -1 -4.17e-23      0.00 8.298e-01 1.699e-01 5.750e-05 1.556e-05 1.416e-04 -1.000 3.192e-04 5.392 5.837 6.046 5.525 5.167 4.826 4.414 4.079 4.033
0.00042777 -1.56000 10.14613 0.6807937026 2.3684980869    0.680 -0.200  3.7746  4.522    1  0.000  0.541     0.00     0.00 -1 -2.99e-20      0.00 8.343e-01 1.654e-01 5.624e-05 1.523e-05 1.386e-04 -1.000 3.110e-04 5.271 5.685 5.905 5.401 5.052 4.718 4.317 3.988 3.946
0.00042777 -1.56000 10.14613 0.6893162131 2.3727564812    0.689 -0.151  3.7791  4.496    1  0.000  0.541     0.00     0.00 -1 -2.09e-17      0.00 8.389e-01 1.608e-01 5.496e-05 1.489e-05 1.355e-04 -1.000 2.827e-04 5.148 5.533 5.763 5.275 4.935 4.609 4.216 3.893 3.855
0.00042777 -1.56000 10.14613 0.6966406703 2.3763208389    0.696 -0.106  3.7828  4.470    1  0.000  0.540     0.00     0.00 -1 -5.62e-15      0.00 8.430e-01 1.566e-01 5.381e-05 1.459e-05 1.328e-04 -1.000 3.253e-04 5.036 5.401 5.636 5.161 4.828 4.508 4.123 3.806 3.771
0.00042777 -1.56000 10.14613 0.6999999881 2.3779268265    0.700 -0.085  3.7845  4.458    1  0.000  0.540     0.00     0.00 -1 -7.25e-14      0.00 8.450e-01 1.547e-01 5.326e-05 1.444e-05 1.315e-04 -1.000 3.397e-04 4.983 5.339 5.576 5.107 4.777 4.460 4.079 3.764 3.730
0.00042777 -1.56000 10.14613 0.7057743669 2.3806464672    0.705 -0.047  3.7873  4.435    1  0.000  0.539     0.00     0.00 -1  -8.1e-14      0.00 8.484e-01 1.512e-01 5.222e-05 1.418e-05 1.292e-04 -1.000 3.390e-04 4.888 5.231 5.469 5.010 4.686 4.373 3.998 3.687 3.655
0.00042777 -1.56000 10.14613 0.7124366760 2.3837213516    0.712 -0.001  3.7904  4.404    1  0.000  0.537     0.00     0.00 -1 -8.58e-20      0.00 8.523e-01 1.474e-01 5.108e-05 1.390e-05 1.267e-04 -1.000 3.066e-04 4.772 5.101 5.340 4.892 4.573 4.266 3.897 3.592 3.562
0.00042777 -1.56000 10.14613 0.7190992236 2.3867309093    0.719  0.049  3.7933  4.371    1  0.000  0.536     0.00     0.00 -1 -4.72e-24      0.00 8.560e-01 1.437e-01 5.002e-05 1.364e-05 1.244e-04 -1.000 2.972e-04 4.648 4.967 5.204 4.766 4.454 4.151 3.789 3.488 3.460
0.00042777 -1.56000 10.14613 0.7267974019 2.3901293278    0.726  0.110  3.7963  4.326    1  0.000  0.534     0.00     0.00 -1 -2.22e-21      0.00 8.598e-01 1.399e-01 4.893e-05 1.338e-05 1.221e-04 -1.000 2.850e-04 4.495 4.802 5.037 4.610 4.304 4.007 3.651 3.356 3.329
0.00042777 -1.56000 10.14613 0.7339923382 2.3932316303    0.733  0.172  3.7989  4.278    1  0.000  0.533     0.00     0.00 -1 -6.98e-19      0.00 8.624e-01 1.373e-01 4.821e-05 1.321e-05 1.207e-04 -1.000 2.660e-04 4.339 4.639 4.870 4.452 4.151 3.858 3.508 3.217 3.193
0.00042777 -1.56000 10.14613 0.7390536070 2.3953723907    0.738  0.220  3.8002  4.239    1  0.000  0.531     0.00     0.00 -1    -4e-17      0.00 8.637e-01 1.360e-01 4.787e-05 1.314e-05 1.201e-04 -1.000 2.659e-04 4.221 4.517 4.745 4.331 4.033 3.744 3.396 3.108 3.084
0.00042777 -1.56000 10.14613 0.7434471250 2.3972036839    0.743  0.264  3.8009  4.201    1  0.000  0.531     0.00     0.00 -1 -1.36e-15      0.00 8.644e-01 1.353e-01 4.768e-05 1.311e-05 1.198e-04 -1.000 2.660e-04 4.111 4.406 4.630 4.220 3.924 3.636 3.290 3.003 2.980
0.00042777 -1.56000 10.14613 0.7444701195 2.3976264000    0.744  0.274  3.8010  4.191    1  0.000  0.530     0.00     0.00 -1  -3.1e-15      0.00 8.645e-01 1.352e-01 4.765e-05 1.310e-05 1.197e-04 -1.000 2.659e-04 4.084 4.380 4.603 4.193 3.898 3.610 3.264 2.978 2.954
0.00042777 -1.56000 10.14613 0.7459858656 2.3982505798    0.745  0.292  3.8009  4.174    1  0.000  0.530     0.00     0.00 -1 -1.05e-14      0.00 8.647e-01 1.350e-01 4.760e-05 1.309e-05 1.197e-04 -1.000 2.659e-04 4.041 4.338 4.559 4.149 3.854 3.565 3.219 2.933 2.910
0.00042777 -1.56000 10.14613 0.7500000000 2.3998889923    0.749  0.341  3.7997  4.123    1  0.000  0.529     0.00     0.00 -1 -2.74e-13      0.00 8.652e-01 1.345e-01 4.747e-05 1.307e-05 1.195e-04 -1.000 2.660e-04 3.919 4.221 4.438 4.027 3.730 3.440 3.091 2.803 2.779
