# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed May 20 08:42:49 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0015467 -1.00000 10.04139 0.0900000036 1.0816895962    0.090 -3.239  3.4438  5.359    1  0.000  0.545     0.00     0.00 -1 -5.06e-17      0.00 7.451e-01 2.533e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.868 21.285 18.532 16.531 14.488 12.453 10.802 10.431 10.266
0.0015467 -1.00000 10.04139 0.0975352302 1.1501811743    0.098 -3.057  3.4695  5.314    1  0.000  0.545     0.00     0.00 -1 -7.78e-17      0.00 7.443e-01 2.541e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.413 19.628 17.266 15.333 13.645 11.891 10.429 9.979 9.800
0.0015467 -1.00000 10.04139 0.1000000015 1.1711064577    0.100 -3.001  3.4775  5.300    1  0.000  0.545     0.00     0.00 -1 -8.89e-17      0.00 7.440e-01 2.544e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.271 19.142 16.891 14.981 13.389 11.723 10.313 9.843 9.660
0.0015467 -1.00000 10.04139 0.1013456583 1.1822497845    0.101 -2.980  3.4799  5.295    1  0.000  0.545     0.00     0.00 -1 -9.32e-17      0.00 7.439e-01 2.545e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.220 18.984 16.768 14.865 13.302 11.663 10.269 9.793 9.609
0.0015467 -1.00000 10.04139 0.1200000048 1.3193155527    0.120 -2.719  3.5108  5.231    1  0.000  0.545     0.00     0.00 -1 -1.68e-16      0.00 7.421e-01 2.562e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.568 17.098 15.310 13.527 12.246 10.939 9.717 9.186 8.984
0.0015467 -1.00000 10.04139 0.1400000006 1.4384527206    0.140 -2.535  3.5286  5.185    1  0.000  0.545     0.00     0.00 -1 -2.51e-16      0.00 7.407e-01 2.577e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.106 16.032 14.453 12.765 11.593 10.450 9.310 8.759 8.552
0.0015467 -1.00000 10.04139 0.1599999964 1.5372931957    0.160 -2.394  3.5398  5.147    1  0.000  0.545     0.00     0.00 -1 -3.39e-16      0.00 7.395e-01 2.589e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 10.754 15.342 13.877 12.257 11.139 10.084 8.992 8.432 8.222
0.0015467 -1.00000 10.04139 0.2000000179 1.6938792467    0.200 -2.174  3.5545  5.083    1  0.000  0.545     0.00     0.00 -1 -5.41e-16      0.00 7.380e-01 2.603e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 10.205 14.394 13.060 11.529 10.473 9.522 8.486 7.916 7.705
0.0015467 -1.00000 10.04139 0.2500000298 1.8403259516    0.250 -1.969  3.5661  5.021    1  0.000  0.545     0.00     0.00 -1 -3.02e-16      0.00 7.376e-01 2.607e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 9.692 13.594 12.354 10.890 9.878 9.002 8.008 7.431 7.219
0.0015467 -1.00000 10.04139 0.3000000417 1.9529141188    0.300 -1.809  3.5749  4.976    1  0.000  0.545     0.00     0.00 -1 -1.09e-16      0.00 7.377e-01 2.606e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 9.293 12.999 11.823 10.407 9.427 8.599 7.636 7.054 6.842
0.0015467 -1.00000 10.04139 0.3139558434 1.9800463915    0.314 -1.770  3.5770  4.965    1  0.000  0.545     0.00     0.00 -1  -4.6e-16      0.00 7.404e-01 2.580e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 9.196 12.856 11.695 10.291 9.318 8.501 7.545 6.962 6.751
0.0015467 -1.00000 10.04139 0.3500000238 2.0434176922    0.350 -1.678  3.5822  4.940    1  0.000  0.545     0.00     0.00 -1 -1.51e-15      0.00 7.465e-01 2.519e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.964 12.516 11.390 10.014 9.059 8.267 7.327 6.742 6.533
0.0015467 -1.00000 10.04139 0.4000000358 2.1185026169    0.400 -1.525  3.5934  4.891    1  0.000  0.545     0.00     0.00 -1 -2.13e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.583 11.908 10.856 9.540 8.627 7.883 6.978 6.386 6.185
0.0015467 -1.00000 10.04139 0.4499999881 2.1822810173    0.450 -1.349  3.6101  4.832    1  0.000  0.545     0.00     0.00 -1 -3.22e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.141 11.155 10.199 8.974 8.122 7.436 6.579 5.977 5.797
0.0015467 -1.00000 10.04139 0.5000000000 2.2374541759    0.500 -1.149  3.6365  4.783    1  0.000  0.545     0.00     0.00 -1 -5.13e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.641 10.198 9.378 8.293 7.538 6.936 6.147 5.535 5.397
0.0015467 -1.00000 10.04139 0.5500000715 2.2836585045    0.550 -0.927  3.6693  4.734    1  0.000  0.544     0.00     0.00 -1  -8.6e-15      0.00 7.785e-01 2.201e-01 2.592e-04 6.998e-05 6.349e-04 -1.000 1.459e-03 7.088 9.022 8.437 7.524 6.895 6.385 5.688 5.122 5.020
0.0015467 -1.00000 10.04139 0.6000000238 2.3211214542    0.600 -0.724  3.6990  4.688    1  0.000  0.544     0.00     0.00 -1 -1.38e-14      0.00 7.856e-01 2.130e-01 2.523e-04 6.812e-05 6.183e-04 -1.000 1.385e-03 6.580 7.959 7.651 6.857 6.332 5.884 5.284 4.800 4.717
0.0015467 -1.00000 10.04139 0.6103380919 2.3279919624    0.610 -0.681  3.7057  4.680    1  0.000  0.544     0.00     0.00 -1 -1.53e-14      0.00 7.872e-01 2.114e-01 2.506e-04 6.769e-05 6.144e-04 -1.000 1.387e-03 6.473 7.745 7.493 6.724 6.218 5.781 5.203 4.736 4.656
0.0015467 -1.00000 10.04139 0.6291962266 2.3398587704    0.629 -0.603  3.7178  4.663    1  0.000  0.544     0.00     0.00 -1 -1.84e-14      0.00 7.902e-01 2.084e-01 2.475e-04 6.687e-05 6.071e-04 -1.000 1.390e-03 6.279 7.367 7.213 6.486 6.013 5.596 5.055 4.620 4.546
0.0015467 -1.00000 10.04139 0.6467238069 2.3501775265    0.647 -0.531  3.7288  4.647    1  0.000  0.543     0.00     0.00 -1 -2.18e-14      0.00 7.932e-01 2.055e-01 2.446e-04 6.607e-05 6.000e-04 -1.000 1.325e-03 6.098 7.038 6.962 6.274 5.827 5.428 4.919 4.510 4.441
