# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed May 20 08:44:59 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0015467 -1.00000 10.20412 0.0900000036 1.0816895962    0.090 -3.237  3.4442  5.358    1  0.000  0.545     0.00     0.00 -1 -3.34e-26      0.00 7.442e-01 2.542e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.862 21.258 18.511 16.511 14.475 12.444 10.797 10.425 10.259
0.0015467 -1.00000 10.20412 0.0960434452 1.1371793747    0.096 -3.090  3.4650  5.322    1  0.000  0.545     0.00     0.00 -1  -6.9e-26      0.00 7.432e-01 2.552e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.494 19.909 17.483 15.538 13.792 11.989 10.496 10.059 9.882
0.0015467 -1.00000 10.20412 0.1000000015 1.1711064577    0.100 -2.998  3.4779  5.300    1  0.000  0.545     0.00     0.00 -1 -4.59e-26      0.00 7.426e-01 2.558e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.265 19.117 16.873 14.963 13.376 11.716 10.308 9.837 9.655
0.0015467 -1.00000 10.20412 0.1200000048 1.3193155527    0.120 -2.717  3.5113  5.231    1  0.000  0.545     0.00     0.00 -1 -1.37e-28      0.00 7.399e-01 2.585e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.561 17.075 15.293 13.512 12.234 10.932 9.712 9.180 8.978
0.0015467 -1.00000 10.20412 0.1400000006 1.4384527206    0.140 -2.531  3.5291  5.183    1  0.000  0.545     0.00     0.00 -1 -1.12e-29      0.00 7.377e-01 2.606e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 11.096 16.006 14.433 12.748 11.579 10.439 9.302 8.750 8.543
0.0015467 -1.00000 10.20412 0.1599999964 1.5372931957    0.160 -2.387  3.5403  5.142    1  0.000  0.545     0.00     0.00 -1 -1.83e-28      0.00 7.362e-01 2.622e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 10.738 15.311 13.851 12.234 11.118 10.067 8.977 8.416 8.207
0.0015467 -1.00000 10.20412 0.2000000179 1.6938792467    0.200 -2.163  3.5549  5.074    1  0.000  0.545     0.00     0.00 -1 -1.37e-29      0.00 7.347e-01 2.637e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 10.178 14.356 13.027 11.498 10.443 9.495 8.461 7.891 7.679
0.0015467 -1.00000 10.20412 0.2500000298 1.8403259516    0.250 -1.959  3.5663  5.012    1  0.000  0.545     0.00     0.00 -1 -2.32e-25      0.00 7.345e-01 2.638e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 9.666 13.560 12.324 10.862 9.851 8.977 7.984 7.407 7.194
0.0015467 -1.00000 10.20412 0.3000000417 1.9529141188    0.300 -1.802  3.5751  4.969    1  0.000  0.545     0.00     0.00 -1 -1.47e-27      0.00 7.348e-01 2.636e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 9.275 12.975 11.801 10.387 9.408 8.581 7.618 7.036 6.825
0.0015467 -1.00000 10.20412 0.3500000238 2.0434176922    0.350 -1.670  3.5825  4.934    1  0.000  0.545     0.00     0.00 -1 -1.09e-25      0.00 7.463e-01 2.520e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.946 12.490 11.367 9.992 9.040 8.249 7.310 6.724 6.515
0.0015467 -1.00000 10.20412 0.4000000358 2.1185026169    0.400 -1.515  3.5942  4.884    1  0.000  0.545     0.00     0.00 -1  -7.8e-29      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.557 11.868 10.821 9.508 8.598 7.857 6.954 6.362 6.161
0.0015467 -1.00000 10.20412 0.4499999881 2.1822810173    0.450 -1.332  3.6119  4.822    1  0.000  0.545     0.00     0.00 -1 -8.38e-30      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.100 11.082 10.136 8.920 8.075 7.394 6.542 5.939 5.762
0.0015467 -1.00000 10.20412 0.4872082770 2.2240440845    0.487 -1.173  3.6336  4.785    1  0.000  0.545     0.00     0.00 -1 -1.08e-30      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.703 10.309 9.474 8.374 7.609 6.997 6.201 5.589 5.446
0.0015467 -1.00000 10.20412 0.5000000000 2.2374541759    0.500 -1.121  3.6407  4.773    1  0.000  0.545     0.00     0.00 -1    -1e-30      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.573 10.055 9.258 8.196 7.458 6.868 6.089 5.479 5.347
0.0015467 -1.00000 10.20412 0.5500000715 2.2836585045    0.550 -0.879  3.6755  4.710    1  0.000  0.544     0.00     0.00 -1 -1.09e-29      0.00 7.917e-01 2.069e-01 2.452e-04 6.621e-05 6.009e-04 -1.000 1.379e-03 6.967 8.779 8.251 7.366 6.761 6.265 5.587 5.035 4.938
0.0015467 -1.00000 10.20412 0.6000000238 2.3211214542    0.600 -0.651  3.7087  4.654    1  0.000  0.543     0.00     0.00 -1 -1.13e-30      0.00 8.017e-01 1.970e-01 2.355e-04 6.364e-05 5.779e-04 -1.000 1.293e-03 6.398 7.619 7.396 6.637 6.140 5.708 5.139 4.680 4.602
0.0015467 -1.00000 10.20412 0.6051847339 2.3246009350    0.605 -0.627  3.7123  4.648    1  0.000  0.543     0.00     0.00 -1 -5.82e-29      0.00 8.028e-01 1.959e-01 2.344e-04 6.334e-05 5.752e-04 -1.000 1.286e-03 6.337 7.504 7.309 6.563 6.076 5.650 5.092 4.642 4.566
0.0015467 -1.00000 10.20412 0.6169379950 2.3322401047    0.617 -0.571  3.7204  4.632    1  0.000  0.543     0.00     0.00 -1  -5.2e-25      0.00 8.054e-01 1.934e-01 2.317e-04 6.264e-05 5.689e-04 -1.000 1.285e-03 6.197 7.245 7.113 6.396 5.930 5.518 4.984 4.554 4.482
