x,y,b_mag,b_mag_err,v_mag,v_mag_err,r_mag,r_mag_err,i_mag,i_mag_err
564,491,15.48,0.2,14.91,0.11,14.54,0.12,13.96,0.12
640,492,14.92,0.19,13.4,0.09,12.15,0.09,9.98,0.09
274,497,15.91,0.22,15.18,0.12,14.65,0.12,13.88,0.12
460,500,15.14,0.2,,,14.37,0.11,12.97,0.1
315,502,15.16,0.2,14.41,0.1,,,12.99,0.1
493,504,18.55,1.43,,,,,,
716,4,,,17.68,0.82,16.23,0.35,14.84,0.2
424,13,,,19.23,3.42,16.87,0.62,15.75,0.41
205,15,,,19.08,2.97,17.68,1.29,16.91,1.18
379,18,,,17.71,0.85,16.78,0.57,16.0,0.52
401,18,,,14.09,0.09,,,,
266,20,,,19.69,5.2,17.67,1.28,16.82,1.09
329,22,,,21.12,19.49,18.37,2.43,17.64,2.31
364,25,,,18.89,2.49,,,,
224,25,,,20.5,10.97,17.72,1.35,16.71,0.99
436,25,,,15.82,0.17,15.08,0.15,14.32,0.14
207,26,,,18.22,1.35,16.97,0.68,16.1,0.57
537,44,,,20.42,10.2,17.65,1.26,16.73,1.01
406,47,,,18.6,1.92,17.49,1.08,16.84,1.11
136,47,,,17.81,0.93,18.74,3.42,,
528,47,,,18.96,2.67,17.52,1.12,16.63,0.92
459,48,,,18.67,2.03,17.18,0.82,16.37,0.73
632,48,,,16.81,0.38,16.11,0.32,15.3,0.28
328,50,,,17.34,0.61,,,,
354,55,,,19.93,6.54,17.79,1.44,16.94,1.22
332,58,,,16.54,0.3,16.0,0.29,15.3,0.28
11,60,,,20.42,10.2,19.07,4.65,18.54,5.3
114,60,,,18.26,1.41,17.17,0.81,16.32,0.7
220,66,,,16.72,0.35,14.48,0.12,,
559,66,,,19.43,4.1,17.84,1.49,17.28,1.66
358,67,,,18.09,1.2,17.58,1.18,16.55,0.85
407,68,,,16.87,0.4,,,,
442,70,,,17.18,0.52,,,,
345,70,,,17.93,1.03,17.81,1.45,16.85,1.12
376,70,,,17.79,0.91,16.97,0.67,16.44,0.77
397,73,,,18.16,1.27,,,,
469,73,,,18.75,2.2,17.79,1.43,16.65,0.93
548,74,,,17.98,1.08,17.02,0.71,16.22,0.63
305,75,,,16.75,0.36,16.01,0.29,15.48,0.33
617,75,,,18.99,2.75,18.37,2.44,18.11,3.56
507,76,,,16.72,0.35,,,,
544,81,,,18.63,1.97,,,,
343,82,,,19.11,3.05,,,,
409,82,,,19.08,2.97,17.29,0.9,15.41,0.31
385,85,,,16.3,0.25,,,,
470,88,,,18.15,1.27,17.31,0.93,16.38,0.73
266,91,,,17.64,0.79,16.77,0.56,16.02,0.53
448,93,,,16.9,0.41,,,15.23,0.27
310,97,,,17.02,0.45,16.48,0.44,15.85,0.46
378,98,,,19.42,4.07,17.83,1.49,16.71,0.99
346,102,,,17.19,0.53,16.48,0.44,15.73,0.41
511,105,,,18.02,1.12,,,16.33,0.7
93,110,,,16.77,0.37,16.27,0.36,15.57,0.36
206,113,,,17.37,0.62,16.83,0.59,16.1,0.57
491,113,,,17.45,0.67,16.62,0.49,15.79,0.43
472,114,,,17.19,0.53,16.59,0.48,15.8,0.43
331,116,,,17.26,0.56,,,,
592,117,,,19.82,5.89,17.9,1.58,16.75,1.03
260,119,,,15.8,0.17,15.3,0.17,14.61,0.17
268,120,,,14.7,0.1,14.28,0.11,13.67,0.11
582,120,,,18.77,2.24,,,,
429,123,,,16.86,0.39,16.2,0.34,15.42,0.31
480,123,,,18.07,1.18,,,16.43,0.77
529,123,,,17.29,0.58,16.52,0.45,15.66,0.39
441,126,,,17.13,0.5,,,15.67,0.39
332,128,,,16.33,0.25,15.61,0.21,14.95,0.22
499,126,,,18.58,1.88,17.72,1.34,16.63,0.92
255,131,,,18.17,1.29,17.31,0.92,16.13,0.58
159,131,,,15.72,0.16,15.21,0.16,14.48,0.16
427,132,,,17.31,0.59,,,15.57,0.36
364,134,,,16.35,0.26,,,,
416,135,,,16.56,0.31,16.02,0.3,15.23,0.27
487,133,,,16.59,0.31,16.0,0.29,15.24,0.27
88,135,,,19.8,5.79,,,,
441,136,,,16.36,0.26,15.62,0.21,14.85,0.2
582,136,,,18.03,1.14,17.81,1.45,,
504,140,,,19.61,4.87,18.46,2.65,16.95,1.22
365,144,,,15.76,0.16,15.18,0.16,14.51,0.16
216,145,,,18.39,1.58,18.85,3.78,,
537,149,,,16.94,0.42,16.47,0.43,15.66,0.39
593,150,,,18.72,2.14,17.61,1.22,16.96,1.24
505,159,,,17.64,0.8,,,15.98,0.51
209,161,,,18.6,1.92,,,,
702,162,,,18.86,2.43,17.7,1.32,17.32,1.72
111,163,,,17.53,0.72,17.11,0.77,16.34,0.71
315,164,,,14.23,0.09,,,,
612,164,,,17.94,1.04,17.22,0.85,16.66,0.94
494,165,,,16.84,0.39,16.36,0.39,15.55,0.35
258,168,,,16.69,0.34,16.37,0.4,15.58,0.36
352,169,,,16.6,0.31,,,,
201,169,,,20.67,12.86,18.74,3.42,17.53,2.1
579,168,,,20.25,8.73,,,,
309,170,,,14.7,0.1,14.25,0.11,13.6,0.11
273,173,,,17.87,0.98,,,16.11,0.57
488,173,,,16.65,0.33,16.09,0.31,15.38,0.3
499,178,,,16.31,0.25,15.71,0.23,14.95,0.22
366,179,,,15.47,0.14,15.02,0.15,14.37,0.15
592,182,,,17.16,0.51,16.38,0.4,15.51,0.34
542,183,,,16.52,0.29,15.83,0.25,15.08,0.24
144,185,,,20.13,7.82,19.67,8.05,18.05,3.38
408,185,,,16.64,0.32,15.96,0.28,15.11,0.24
505,186,,,16.48,0.29,15.91,0.27,,
362,189,,,15.39,0.13,,,,
481,189,,,16.49,0.29,,,,
411,193,,,16.64,0.33,,,,
541,193,,,16.83,0.38,16.25,0.36,15.53,0.34
247,193,,,17.3,0.59,17.03,0.71,16.08,0.56
649,197,,,18.41,1.6,,,16.51,0.82
685,202,,,17.66,0.81,,,,
341,205,,,15.63,0.15,,,,
636,206,,,17.47,0.68,16.72,0.54,16.23,0.64
250,208,,,17.72,0.85,,,16.49,0.81
406,208,,,13.41,0.09,12.79,0.09,11.98,0.09
488,211,,,16.7,0.34,,,15.46,0.32
496,213,,,16.99,0.44,,,,
567,215,,,17.09,0.48,16.76,0.56,16.17,0.6
213,217,,,16.09,0.21,15.57,0.21,14.73,0.18
268,217,,,17.11,0.49,16.54,0.46,15.71,0.4
482,220,,,16.72,0.35,16.3,0.37,,
377,224,,,15.6,0.15,15.11,0.15,14.42,0.15
470,225,,,16.94,0.42,,,,
100,230,,,18.56,1.84,17.71,1.33,16.68,0.96
266,234,,,16.4,0.27,16.03,0.3,,
357,237,,,15.64,0.15,15.09,0.15,14.4,0.15
205,237,,,16.55,0.3,,,,
558,241,,,17.08,0.48,16.44,0.42,,
40,247,,,20.14,7.91,19.54,7.12,23.45,486.27
484,247,,,16.51,0.29,15.97,0.28,15.1,0.24
475,248,,,16.34,0.25,15.88,0.26,,
597,248,,,18.45,1.67,17.11,0.77,16.22,0.63
520,252,,,16.48,0.28,,,,
539,257,,,17.13,0.5,,,,
431,258,,,16.57,0.31,16.01,0.29,15.27,0.28
176,259,,,17.89,1.0,17.24,0.86,16.2,0.62
397,262,,,15.76,0.16,15.27,0.17,14.55,0.16
294,264,,,16.4,0.27,15.92,0.27,15.26,0.27
364,264,,,16.25,0.24,,,,
540,267,,,16.43,0.27,15.67,0.22,14.76,0.19
597,268,,,17.81,0.93,16.94,0.66,15.85,0.45
405,271,,,15.89,0.18,,,,
552,273,,,18.79,2.29,,,,
512,277,,,16.07,0.2,,,14.9,0.21
620,284,,,17.92,1.02,,,16.75,1.02
324,285,,,16.71,0.35,16.24,0.35,15.51,0.34
366,284,,,16.24,0.23,,,15.04,0.23
732,286,,,17.03,0.46,16.03,0.3,14.98,0.22
442,289,,,16.11,0.21,15.59,0.21,14.85,0.2
531,288,,,17.76,0.89,16.97,0.68,15.95,0.5
316,293,,,16.92,0.42,,,,
541,297,,,17.56,0.74,,,16.21,0.63
141,301,,,18.27,1.42,17.68,1.3,17.18,1.51
508,301,,,16.45,0.28,,,,
247,304,,,19.16,3.2,,,17.05,1.34
313,309,,,17.78,0.9,,,,
484,308,,,16.59,0.31,16.05,0.3,15.25,0.27
376,311,,,16.58,0.31,15.95,0.28,15.13,0.25
305,312,,,17.57,0.74,17.22,0.85,16.35,0.71
554,313,,,16.8,0.37,15.56,0.2,14.56,0.16
429,317,,,15.1,0.11,,,,
283,317,,,17.55,0.73,17.17,0.81,16.23,0.64
295,317,,,17.6,0.77,17.07,0.74,16.33,0.7
415,318,,,16.22,0.23,15.6,0.21,14.64,0.17
185,322,,,17.09,0.48,16.42,0.42,15.66,0.39
601,324,,,18.25,1.39,17.51,1.1,16.75,1.03
105,327,,,18.03,1.13,18.48,2.7,17.88,2.88
228,327,,,17.62,0.78,17.3,0.91,,
288,329,,,17.38,0.63,16.9,0.64,16.1,0.57
299,331,,,16.81,0.38,16.21,0.34,15.56,0.35
205,335,,,18.03,1.14,17.7,1.31,16.69,0.97
747,339,,,17.76,0.88,17.48,1.07,16.83,1.1
376,343,,,16.54,0.3,,,,
494,343,,,16.1,0.21,,,,
401,347,,,16.93,0.42,,,,
509,350,,,17.84,0.96,17.55,1.14,16.57,0.87
537,352,,,16.32,0.25,15.51,0.2,15.08,0.24
324,354,,,17.26,0.57,,,,
370,353,,,17.17,0.52,,,15.9,0.47
615,354,,,19.51,4.44,17.99,1.71,17.06,1.36
124,355,,,17.69,0.83,17.0,0.69,16.19,0.62
268,358,,,17.43,0.66,17.02,0.71,16.42,0.76
310,359,,,16.87,0.4,,,15.69,0.39
642,360,,,19.84,5.98,18.17,2.03,17.48,2.0
319,371,,,16.67,0.33,16.06,0.31,15.37,0.3
357,374,,,17.16,0.51,16.8,0.58,16.09,0.56
457,373,,,17.57,0.74,,,,
557,374,,,18.74,2.18,,,,
447,375,,,17.07,0.48,16.33,0.38,15.46,0.32
235,376,,,18.01,1.11,17.79,1.42,17.1,1.42
273,376,,,18.8,2.31,17.68,1.3,16.83,1.1
624,378,,,20.5,11.01,18.82,3.68,19.7,15.37
91,380,,,19.2,3.33,18.03,1.79,16.88,1.16
202,381,,,17.22,0.54,,,16.39,0.74
515,383,,,18.13,1.25,17.41,1.01,,
295,385,,,21.36,24.24,,,,
464,391,,,16.82,0.38,,,,
287,393,,,17.95,1.06,17.85,1.51,17.07,1.37
665,394,,,20.91,16.1,19.87,9.66,18.74,6.36
409,396,,,17.94,1.05,,,,
449,400,,,18.58,1.89,,,,
250,407,,,17.39,0.63,16.74,0.55,15.89,0.47
258,410,,,17.49,0.69,16.91,0.64,16.18,0.61
575,411,,,21.19,20.82,,,,
565,415,,,19.69,5.24,21.73,53.52,,
515,416,,,17.87,0.98,17.44,1.04,16.74,1.02
748,416,,,19.04,2.86,18.6,3.01,,
543,428,,,18.21,1.34,,,,
276,433,,,22.12,49.15,20.8,22.78,19.66,14.91
590,441,,,19.07,2.96,17.88,1.55,16.59,0.89
743,441,,,17.24,0.55,16.89,0.63,16.37,0.73
293,447,,,18.2,1.33,17.55,1.14,16.97,1.25
390,448,,,18.75,2.19,,,,
333,455,,,18.22,1.35,17.66,1.27,17.12,1.43
617,455,,,18.81,2.32,17.78,1.41,16.86,1.13
495,468,,,18.65,2.0,18.35,2.4,17.79,2.65
485,474,,,17.73,0.86,,,,
195,474,,,20.04,7.2,19.58,7.44,20.04,21.07
659,476,,,17.91,1.02,17.21,0.84,16.07,0.55
445,483,,,17.32,0.59,,,,
126,493,,,18.32,1.48,17.56,1.16,16.72,1.0
292,505,,,20.38,9.87,,,,
393,9,,,,,17.95,1.66,17.12,1.44
405,19,,,,,13.82,0.1,13.38,0.1
495,19,,,,,15.5,0.2,14.63,0.17
260,30,,,,,16.51,0.45,,
509,30,,,,,18.75,3.45,16.91,1.19
76,32,,,,,19.55,7.25,18.03,3.33
438,45,,,,,16.91,0.64,16.24,0.65
578,50,,,,,18.04,1.8,17.08,1.39
567,51,,,,,18.3,2.27,,
205,55,,,,,21.65,49.69,17.73,2.51
289,81,,,,,18.33,2.34,,
594,91,,,,,17.78,1.42,,
650,95,,,,,17.83,1.49,16.78,1.05
357,109,,,,,15.74,0.24,,
664,110,,,,,16.82,0.59,16.34,0.7
653,117,,,,,16.34,0.39,15.65,0.38
196,122,,,,,22.56,115.47,17.96,3.11
464,124,,,,,17.54,1.14,,
209,127,,,,,17.19,0.83,16.41,0.75
67,145,,,,,11.04,0.09,10.22,0.09
198,151,,,,,17.4,1.0,16.66,0.94
388,155,,,,,13.41,0.1,12.61,0.1
381,163,,,,,14.73,0.13,,
410,165,,,,,14.18,0.11,13.54,0.11
345,172,,,,,15.95,0.28,,
262,180,,,,,16.29,0.37,,
754,186,,,,,18.51,2.78,16.49,0.81
709,189,,,,,17.99,1.72,17.24,1.6
237,190,,,,,16.75,0.55,,
458,216,,,,,11.96,0.09,11.1,0.09
575,219,,,,,16.4,0.41,15.84,0.45
205,227,,,,,14.55,0.12,13.88,0.12
340,248,,,,,11.49,0.09,,
454,250,,,,,13.95,0.1,,
228,261,,,,,17.82,1.47,,
438,265,,,,,15.4,0.18,14.73,0.18
632,270,,,,,19.51,6.93,18.86,7.15
102,273,,,,,19.75,8.67,20.23,25.1
205,273,,,,,16.99,0.69,16.13,0.58
562,275,,,,,16.88,0.62,16.13,0.58
457,291,,,,,15.39,0.18,14.58,0.17
676,293,,,,,19.03,4.45,18.65,5.86
337,294,,,,,14.66,0.12,14.0,0.12
405,297,,,,,12.8,0.09,,
508,298,,,,,15.86,0.26,,
524,328,,,,,16.2,0.34,,
385,333,,,,,15.58,0.21,14.81,0.2
478,333,,,,,15.43,0.19,14.68,0.18
429,356,,,,,15.16,0.16,14.33,0.14
422,368,,,,,14.98,0.14,13.86,0.12
586,382,,,,,19.51,6.93,18.85,7.05
159,387,,,,,17.34,0.94,16.63,0.92
500,400,,,,,16.98,0.68,16.34,0.7
312,429,,,,,17.0,0.7,,
687,446,,,,,15.92,0.27,15.26,0.28
353,455,,,,,16.53,0.46,,
628,461,,,,,18.13,1.96,,
429,488,,,,,20.68,20.47,18.84,6.98
407,492,,,,,16.62,0.5,,
658,492,,,,,19.13,4.89,16.16,0.6
475,12,,,,,,,17.83,2.75
755,38,,,,,,,17.87,2.87
221,69,,,,,,,12.63,0.1
199,73,,,,,,,18.21,3.93
335,84,,,,,,,15.69,0.39
573,108,,,,,,,12.59,0.1
143,115,,,,,,,12.01,0.09
425,154,,,,,,,11.33,0.09
481,153,,,,,,,14.78,0.19
135,157,,,,,,,19.8,16.96
342,183,,,,,,,14.18,0.13
423,190,,,,,,,14.63,0.17
592,194,,,,,,,12.84,0.1
509,207,,,,,,,17.73,2.52
548,218,,,,,,,18.35,4.47
7,236,,,,,,,18.97,7.87
599,291,,,,,,,18.29,4.22
314,351,,,,,,,15.96,0.5
380,360,,,,,,,14.8,0.19
343,365,,,,,,,15.69,0.4
437,372,,,,,,,12.78,0.1
4,396,,,,,,,14.95,0.21
378,423,,,,,,,13.79,0.11
357,432,,,,,,,14.45,0.15
604,478,,,,,,,18.23,3.98
312,493,,,,,,,15.61,0.37
432,503,,,,,,,16.85,1.12
266,504,,,,,,,15.6,0.37
383,504,,,,,,,15.9,0.48
