x,y,b_mag,b_mag_err,v_mag,v_mag_err,r_mag,r_mag_err,i_mag,i_mag_err
279,138,16.79,0.33,15.92,0.18,15.38,0.18,14.66,0.18
333,138,15.48,0.2,14.64,0.1,14.06,0.1,13.35,0.1
477,139,16.85,0.35,15.88,0.18,15.19,0.16,14.41,0.15
381,140,15.93,0.23,15.13,0.12,14.62,0.12,13.92,0.12
450,140,16.59,0.3,,,,,,
53,143,16.54,0.29,15.64,0.15,14.71,0.13,13.53,0.11
312,143,15.43,0.2,14.84,0.11,14.43,0.11,13.87,0.12
92,144,16.28,0.26,15.21,0.12,14.58,0.12,13.81,0.12
433,144,14.81,0.19,13.93,0.09,13.34,0.1,12.57,0.1
252,146,15.22,0.2,14.59,0.1,14.17,0.11,13.62,0.11
485,145,16.26,0.25,,,14.74,0.13,14.0,0.12
351,146,16.94,0.37,16.07,0.21,15.34,0.18,14.66,0.18
470,146,15.69,0.21,14.71,0.1,14.12,0.11,13.35,0.1
289,148,16.22,0.25,,,,,,
682,148,17.25,0.47,16.16,0.22,15.62,0.22,14.95,0.21
332,148,15.97,0.23,15.21,0.12,14.6,0.12,13.94,0.12
31,152,16.01,0.23,,,14.58,0.12,13.88,0.12
361,153,15.58,0.21,14.7,0.1,14.15,0.11,13.4,0.1
372,153,15.97,0.23,15.14,0.12,14.6,0.12,13.88,0.12
304,154,17.59,0.61,16.58,0.31,15.96,0.28,15.13,0.25
240,156,16.61,0.3,,,15.23,0.16,14.51,0.16
256,157,16.78,0.33,16.0,0.2,15.6,0.21,14.96,0.22
278,158,16.08,0.24,,,14.61,0.12,13.74,0.11
331,159,14.74,0.19,14.0,0.09,13.41,0.1,12.71,0.1
561,159,17.22,0.46,16.08,0.21,15.49,0.19,14.72,0.18
229,160,15.19,0.2,14.89,0.11,14.76,0.13,14.36,0.15
397,160,13.66,0.19,12.63,0.09,11.98,0.09,11.14,0.09
467,162,15.56,0.21,14.62,0.1,14.05,0.1,13.29,0.1
441,163,13.54,0.19,12.21,0.09,11.39,0.09,10.42,0.09
28,164,15.36,0.2,,,14.44,0.11,13.93,0.12
323,166,13.96,0.19,12.82,0.09,,,11.24,0.09
423,166,14.94,0.19,14.1,0.09,13.51,0.1,12.75,0.1
505,168,15.8,0.22,15.07,0.11,14.52,0.12,13.74,0.11
536,168,14.67,0.19,13.62,0.09,12.97,0.1,12.15,0.09
