Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00049103 -1.50000 10.07918 0.0900000036 1.0816895962    0.090 -3.183  3.4750  5.427    1  0.000  0.545     0.00     0.00 -1 -5.32e-17      0.00 7.480e-01 2.515e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 12.727 20.146 17.399 15.398 13.691 12.057 10.740 10.429 10.327
0.00049103 -1.50000 10.07918 0.0951624885 1.1293773651    0.095 -3.030  3.4969  5.386    1  0.000  0.545     0.00     0.00 -1 -7.73e-17      0.00 7.471e-01 2.524e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 12.344 18.738 16.448 14.504 13.058 11.662 10.432 10.031 9.907
0.00049103 -1.50000 10.07918 0.1000000015 1.1711064577    0.100 -2.893  3.5163  5.349    1  0.000  0.545     0.00     0.00 -1 -1.08e-16      0.00 7.462e-01 2.533e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 12.004 17.596 15.655 13.807 12.524 11.315 10.157 9.696 9.554
0.00049103 -1.50000 10.07918 0.1199999973 1.3193154335    0.120 -2.608  3.5474  5.266    1  0.000  0.545     0.00     0.00 -1 -2.08e-16      0.00 7.436e-01 2.559e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 11.289 15.794 14.294 12.663 11.554 10.591 9.544 9.021 8.856
0.00049103 -1.50000 10.07918 0.1400000006 1.4384527206    0.140 -2.426  3.5627  5.213    1  0.000  0.545     0.00     0.00 -1 -3.12e-16      0.00 7.416e-01 2.579e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.942e-04 10.835 14.878 13.558 12.041 10.999 10.133 9.139 8.596 8.420
0.00049103 -1.50000 10.07918 0.1599999964 1.5372931957    0.160 -2.284  3.5729  5.170    1  0.000  0.545     0.00     0.00 -1 -4.25e-16      0.00 7.402e-01 2.593e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.480 14.237 13.028 11.584 10.587 9.777 8.816 8.263 8.080
0.00049103 -1.50000 10.07918 0.2000000179 1.6938792467    0.200 -2.062  3.5862  5.098    1  0.000  0.545     0.00     0.00 -1 -6.88e-16      0.00 7.391e-01 2.605e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.942e-04 9.926 13.340 12.263 10.912 9.973 9.221 8.302 7.740 7.550
0.00049103 -1.50000 10.07918 0.2500000298 1.8403259516    0.250 -1.859  3.5973  5.036    1  0.000  0.545     0.00     0.00 -1  -5.2e-16      0.00 7.390e-01 2.605e-01 8.883e-05 2.397e-05 2.174e-04 -1.000 4.942e-04 9.416 12.566 11.589 10.311 9.421 8.709 7.825 7.258 7.067
0.00049103 -1.50000 10.07918 0.3000000417 1.9529141188    0.300 -1.703  3.6058  4.993    1  0.000  0.545     0.00     0.00 -1 -1.45e-15      0.00 7.392e-01 2.603e-01 8.882e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 9.028 11.991 11.083 9.857 9.004 8.318 7.460 6.892 6.705
0.00049103 -1.50000 10.07918 0.3204100430 1.9920697212    0.320 -1.650  3.6089  4.981    1  0.000  0.545     0.00     0.00 -1 -1.61e-15      0.00 7.392e-01 2.603e-01 8.880e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 8.895 11.791 10.908 9.700 8.860 8.183 7.335 6.766 6.581
0.00049103 -1.50000 10.07918 0.3500000238 2.0434176922    0.350 -1.578  3.6131  4.964    1  0.000  0.545     0.00     0.00 -1 -1.85e-15      0.00 7.392e-01 2.603e-01 8.879e-05 2.397e-05 2.174e-04 -1.000 4.939e-04 8.714 11.527 10.673 9.490 8.667 8.002 7.166 6.596 6.416
0.00049103 -1.50000 10.07918 0.3961759806 2.1132009029    0.396 -1.445  3.6236  4.927    1  0.000  0.545     0.00     0.00 -1 -2.47e-15      0.00 7.495e-01 2.500e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 8.383 10.991 10.210 9.084 8.304 7.669 6.862 6.292 6.123
