Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00049103 -1.50000 10.14613 0.0900000036 1.0816895962    0.090 -3.181  3.4753  5.427    1  0.000  0.545     0.00     0.00 -1 -4.83e-17      0.00 7.476e-01 2.519e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 12.723 20.128 17.387 15.386 13.683 12.052 10.736 10.424 10.322
0.00049103 -1.50000 10.14613 0.0936901644 1.1161261797    0.094 -3.071  3.4911  5.397    1  0.000  0.545     0.00     0.00 -1 -6.42e-17      0.00 7.468e-01 2.527e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 12.447 19.093 16.693 14.728 13.223 11.767 10.516 10.135 10.017
0.00049103 -1.50000 10.14613 0.1000000015 1.1711064577    0.100 -2.892  3.5165  5.348    1  0.000  0.545     0.00     0.00 -1  -5.7e-17      0.00 7.455e-01 2.540e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 12.000 17.584 15.646 13.800 12.519 11.311 10.155 9.693 9.551
0.00049103 -1.50000 10.14613 0.1199999973 1.3193154335    0.120 -2.606  3.5476  5.266    1  0.000  0.545     0.00     0.00 -1 -2.04e-16      0.00 7.424e-01 2.571e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.942e-04 11.286 15.784 14.286 12.657 11.549 10.587 9.541 9.018 8.852
0.00049103 -1.50000 10.14613 0.1400000006 1.4384527206    0.140 -2.424  3.5630  5.211    1  0.000  0.545     0.00     0.00 -1 -2.02e-16      0.00 7.402e-01 2.594e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.829 14.865 13.548 12.032 10.992 10.127 9.134 8.591 8.415
0.00049103 -1.50000 10.14613 0.1599999964 1.5372931957    0.160 -2.280  3.5731  5.167    1  0.000  0.545     0.00     0.00 -1 -3.94e-16      0.00 7.387e-01 2.608e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 10.470 14.222 13.014 11.573 10.576 9.767 8.807 8.254 8.071
0.00049103 -1.50000 10.14613 0.2000000179 1.6938792467    0.200 -2.058  3.5863  5.094    1  0.000  0.545     0.00     0.00 -1 -6.98e-16      0.00 7.375e-01 2.620e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 9.914 13.324 12.249 10.899 9.961 9.209 8.291 7.728 7.538
0.00049103 -1.50000 10.14613 0.2388119847 1.8110721111    0.239 -1.897  3.5951  5.045    1  0.000  0.545     0.00     0.00 -1 -1.42e-18      0.00 7.376e-01 2.619e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 9.511 12.710 11.715 10.423 9.524 8.805 7.914 7.347 7.156
0.00049103 -1.50000 10.14613 0.2500000298 1.8403259516    0.250 -1.855  3.5974  5.032    1  0.000  0.545     0.00     0.00 -1 -2.52e-19      0.00 7.376e-01 2.619e-01 8.883e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 9.407 12.554 11.579 10.301 9.412 8.700 7.816 7.249 7.058
0.00049103 -1.50000 10.14613 0.3000000417 1.9529141188    0.300 -1.701  3.6059  4.992    1  0.000  0.545     0.00     0.00 -1 -5.55e-20      0.00 7.379e-01 2.616e-01 8.882e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 9.023 11.983 11.076 9.851 8.998 8.313 7.455 6.887 6.700
0.00049103 -1.50000 10.14613 0.3251351714 2.0006740093    0.325 -1.636  3.6098  4.977    1  0.000  0.545     0.00     0.00 -1 -2.98e-19      0.00 7.378e-01 2.617e-01 8.880e-05 2.397e-05 2.174e-04 -1.000 5.106e-04 8.860 11.739 10.862 9.659 8.823 8.149 7.303 6.734 6.549
0.00049103 -1.50000 10.14613 0.3500000238 2.0434176922    0.350 -1.576  3.6133  4.964    1  0.000  0.545     0.00     0.00 -1 -5.19e-18      0.00 7.377e-01 2.617e-01 8.878e-05 2.397e-05 2.174e-04 -1.000 5.108e-04 8.711 11.520 10.667 9.485 8.662 7.998 7.163 6.593 6.413
0.00049103 -1.50000 10.14613 0.3902968168 2.1049187183    0.390 -1.457  3.6228  4.929    1  0.000  0.545     0.00     0.00 -1 -3.12e-16      0.00 7.479e-01 2.516e-01 8.883e-05 2.397e-05 2.174e-04 -1.000 4.999e-04 8.413 11.038 10.251 9.120 8.336 7.699 6.890 6.320 6.150
0.00049103 -1.50000 10.14613 0.4000000358 2.1185026169    0.400 -1.430  3.6249  4.922    1  0.000  0.545     0.00     0.00 -1 -2.56e-15      0.00 7.503e-01 2.492e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 8.345 10.930 10.157 9.038 8.263 7.631 6.828 6.258 6.091
0.00049103 -1.50000 10.14613 0.4500000179 2.1822810173    0.450 -1.253  3.6442  4.872    1  0.000  0.545     0.00     0.00 -1 -5.51e-16      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.942e-04 7.902 10.129 9.488 8.468 7.768 7.188 6.437 5.875 5.732
0.00049103 -1.50000 10.14613 0.5000000000 2.2374541759    0.500 -1.052  3.6710  4.825    1  0.000  0.545     0.00     0.00 -1 -5.57e-15      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.942e-04 7.400 9.136 8.703 7.808 7.205 6.691 6.015 5.492 5.376
0.00049103 -1.50000 10.14613 0.5500000715 2.2836585045    0.550 -0.828  3.6965  4.744    1  0.000  0.544     0.00     0.00 -1  -8.4e-17      0.00 7.904e-01 2.091e-01 7.552e-05 2.039e-05 1.851e-04 -1.000 4.309e-04 6.841 8.132 7.921 7.128 6.606 6.144 5.545 5.078 4.980
0.00049103 -1.50000 10.14613 0.6000000238 2.3211214542    0.600 -0.607  3.7260  4.679    1  0.000  0.543     0.00     0.00 -1 -1.83e-14      0.00 8.029e-01 1.967e-01 7.159e-05 1.934e-05 1.757e-04 -1.000 3.960e-04 6.287 7.164 7.166 6.483 6.034 5.622 5.108 4.703 4.625
0.00049103 -1.50000 10.14613 0.6052032709 2.3246130943    0.605 -0.583  3.7293  4.672    1  0.000  0.543     0.00     0.00 -1 -1.95e-14      0.00 8.044e-01 1.952e-01 7.111e-05 1.921e-05 1.745e-04 -1.000 3.961e-04 6.227 7.062 7.085 6.414 5.972 5.566 5.061 4.664 4.587
0.00049103 -1.50000 10.14613 0.6148262024 2.3308920860    0.614 -0.538  3.7355  4.658    1  0.000  0.543     0.00     0.00 -1  -1.2e-25      0.00 8.072e-01 1.924e-01 7.022e-05 1.898e-05 1.724e-04 -1.000 3.959e-04 6.114 6.880 6.938 6.289 5.860 5.463 4.974 4.588 4.515
0.00049103 -1.50000 10.14613 0.6237712502 2.3365294933    0.623 -0.495  3.7411  4.644    1  0.000  0.543     0.00     0.00 -1  -9.8e-23      0.00 8.100e-01 1.896e-01 6.935e-05 1.875e-05 1.703e-04 -1.000 3.949e-04 6.008 6.714 6.801 6.173 5.755 5.367 4.892 4.516 4.447
0.00049103 -1.50000 10.14613 0.6324879527 2.3418467045    0.632 -0.454  3.7465  4.630    1  0.000  0.543     0.00     0.00 -1 -7.21e-20      0.00 8.128e-01 1.868e-01 6.847e-05 1.851e-05 1.682e-04 -1.000 3.946e-04 5.904 6.557 6.670 6.060 5.654 5.274 4.812 4.444 4.379
0.00049103 -1.50000 10.14613 0.6423999667 2.3476922512    0.642 -0.406  3.7525  4.613    1  0.000  0.542     0.00     0.00 -1  -1.2e-16      0.00 8.161e-01 1.836e-01 6.744e-05 1.824e-05 1.658e-04 -1.000 3.949e-04 5.784 6.380 6.519 5.932 5.538 5.169 4.720 4.360 4.300
0.00049103 -1.50000 10.14613 0.6499999762 2.3520355225    0.650 -0.368  3.7570  4.599    1  0.000  0.542     0.00     0.00 -1  -3.3e-14      0.00 8.186e-01 1.810e-01 6.662e-05 1.802e-05 1.638e-04 -1.000 3.947e-04 5.690 6.245 6.403 5.833 5.448 5.086 4.648 4.295 4.239
0.00049103 -1.50000 10.14613 0.6530266404 2.3537328243    0.653 -0.353  3.7586  4.592    1  0.000  0.542     0.00     0.00 -1 -3.42e-14      0.00 8.199e-01 1.797e-01 6.622e-05 1.792e-05 1.628e-04 -1.000 3.932e-04 5.653 6.192 6.357 5.793 5.412 5.053 4.618 4.268 4.213
0.00049103 -1.50000 10.14613 0.6631572843 2.3592846394    0.663 -0.301  3.7642  4.569    1  0.000  0.542     0.00     0.00 -1 -3.52e-14      0.00 8.244e-01 1.752e-01 6.481e-05 1.754e-05 1.594e-04 -1.000 3.688e-04 5.523 6.017 6.202 5.658 5.288 4.939 4.516 4.173 4.123
0.00049103 -1.50000 10.14613 0.6725954413 2.3642842770    0.672 -0.251  3.7692  4.546    1  0.000  0.542     0.00     0.00 -1 -5.34e-23      0.00 8.288e-01 1.709e-01 6.342e-05 1.717e-05 1.561e-04 -1.000 3.498e-04 5.399 5.854 6.055 5.530 5.170 4.828 4.416 4.080 4.034
0.00049103 -1.50000 10.14613 0.6813679934 2.3687889576    0.681 -0.203  3.7739  4.522    1  0.000  0.541     0.00     0.00 -1 -4.62e-20      0.00 8.331e-01 1.665e-01 6.207e-05 1.681e-05 1.529e-04 -1.000 3.333e-04 5.278 5.702 5.914 5.406 5.055 4.721 4.319 3.989 3.947
0.00049103 -1.50000 10.14613 0.6898955107 2.3730416298    0.690 -0.154  3.7783  4.496    1  0.000  0.541     0.00     0.00 -1 -3.21e-17      0.00 8.375e-01 1.622e-01 6.069e-05 1.645e-05 1.496e-04 -1.000 2.979e-04 5.156 5.550 5.773 5.281 4.939 4.612 4.219 3.895 3.856
0.00049103 -1.50000 10.14613 0.6972242594 2.3766009808    0.697 -0.110  3.7820  4.471    1  0.000  0.540     0.00     0.00 -1 -8.61e-15      0.00 8.414e-01 1.582e-01 5.944e-05 1.611e-05 1.466e-04 -1.000 3.605e-04 5.044 5.417 5.646 5.167 4.832 4.512 4.126 3.808 3.772
0.00049103 -1.50000 10.14613 0.6999999881 2.3779268265    0.700 -0.092  3.7834  4.461    1  0.000  0.540     0.00     0.00 -1 -7.11e-14      0.00 8.430e-01 1.567e-01 5.895e-05 1.598e-05 1.455e-04 -1.000 3.822e-04 5.001 5.367 5.597 5.123 4.791 4.473 4.090 3.774 3.739
0.00049103 -1.50000 10.14613 0.7063436508 2.3809118271    0.706 -0.051  3.7864  4.435    1  0.000  0.539     0.00     0.00 -1 -8.02e-14      0.00 8.469e-01 1.528e-01 5.768e-05 1.567e-05 1.427e-04 -1.000 3.812e-04 4.897 5.248 5.480 5.017 4.691 4.378 4.001 3.690 3.657
0.00049103 -1.50000 10.14613 0.7130061388 2.3839809895    0.713 -0.005  3.7895  4.405    1  0.000  0.537     0.00     0.00 -1  -8.8e-21      0.00 8.509e-01 1.488e-01 5.640e-05 1.535e-05 1.399e-04 -1.000 3.281e-04 4.782 5.119 5.353 4.900 4.580 4.272 3.902 3.595 3.565
0.00049103 -1.50000 10.14613 0.7196687460 2.3869853020    0.719  0.044  3.7923  4.372    1  0.000  0.536     0.00     0.00 -1 -7.38e-24      0.00 8.547e-01 1.450e-01 5.521e-05 1.506e-05 1.373e-04 -1.000 3.255e-04 4.660 4.985 5.218 4.776 4.462 4.158 3.794 3.493 3.464
0.00049103 -1.50000 10.14613 0.7273668647 2.3903775215    0.727  0.105  3.7954  4.328    1  0.000  0.534     0.00     0.00 -1 -3.45e-21      0.00 8.587e-01 1.410e-01 5.397e-05 1.476e-05 1.347e-04 -1.000 3.133e-04 4.509 4.823 5.054 4.622 4.314 4.016 3.658 3.362 3.335
0.00049103 -1.50000 10.14613 0.7345615625 2.3934741020    0.734  0.166  3.7978  4.281    1  0.000  0.533     0.00     0.00 -1 -1.07e-18      0.00 8.615e-01 1.382e-01 5.315e-05 1.457e-05 1.330e-04 -1.000 2.961e-04 4.356 4.662 4.889 4.466 4.164 3.870 3.518 3.226 3.201
0.00049103 -1.50000 10.14613 0.7396225929 2.3956110477    0.739  0.212  3.7991  4.243    1  0.000  0.532     0.00     0.00 -1 -6.12e-17      0.00 8.628e-01 1.369e-01 5.276e-05 1.449e-05 1.323e-04 -1.000 2.960e-04 4.239 4.542 4.766 4.348 4.048 3.757 3.408 3.119 3.094
0.00049103 -1.50000 10.14613 0.7440158725 2.3974387646    0.743  0.255  3.7999  4.205    1  0.000  0.531     0.00     0.00 -1 -2.07e-15      0.00 8.636e-01 1.361e-01 5.254e-05 1.444e-05 1.320e-04 -1.000 2.960e-04 4.132 4.433 4.654 4.239 3.941 3.652 3.304 3.016 2.992
0.00049103 -1.50000 10.14613 0.7450387478 2.3978610039    0.744  0.266  3.8000  4.196    1  0.000  0.531     0.00     0.00 -1  -4.7e-15      0.00 8.637e-01 1.360e-01 5.250e-05 1.444e-05 1.319e-04 -1.000 2.960e-04 4.106 4.407 4.627 4.213 3.916 3.626 3.279 2.992 2.968
0.00049103 -1.50000 10.14613 0.7465908527 2.3984987736    0.746  0.283  3.7999  4.179    1  0.000  0.530     0.00     0.00 -1 -1.64e-14      0.00 8.639e-01 1.358e-01 5.244e-05 1.443e-05 1.319e-04 -1.000 2.960e-04 4.062 4.364 4.583 4.169 3.871 3.582 3.234 2.947 2.923
0.00049103 -1.50000 10.14613 0.7500000000 2.3998889923    0.749  0.324  3.7989  4.136    1  0.000  0.530     0.00     0.00 -1  -2.6e-13      0.00 8.644e-01 1.353e-01 5.231e-05 1.440e-05 1.317e-04 -1.000 2.960e-04 3.960 4.268 4.482 4.067 3.768 3.477 3.127 2.839 2.814
0.00049103 -1.50000 10.14613 0.7513142228 2.4004211426    0.750  0.340  3.7986  4.120    1  0.000  0.530     0.00     0.00 -1 -2.73e-13      0.00 8.642e-01 1.355e-01 5.241e-05 1.443e-05 1.319e-04 -1.000 2.987e-04 3.921 4.231 4.444 4.028 3.729 3.438 3.087 2.798 2.773
0.00049103 -1.50000 10.14613 0.7551610470 2.4019663334    0.754  0.391  3.7962  4.061    1  0.000  0.530     0.00     0.00 -1 -3.29e-13      0.00 8.637e-01 1.360e-01 5.268e-05 1.451e-05 1.326e-04 -1.000 3.064e-04 3.794 4.115 4.323 3.901 3.598 3.304 2.947 2.654 2.628
0.00049103 -1.50000 10.14613 0.7558177710 2.4022283554    0.755  0.400  3.7955  4.050    1  0.000  0.530     0.00     0.00 -1 -3.41e-13      0.00 8.636e-01 1.361e-01 5.273e-05 1.452e-05 1.328e-04 -1.000 3.078e-04 3.770 4.094 4.301 3.878 3.574 3.278 2.921 2.626 2.600
0.00049103 -1.50000 10.14613 0.7564947605 2.4024977684    0.755  0.411  3.7946  4.036    2  0.000  0.530     0.00     0.00 -1 -3.56e-13      0.00 8.635e-01 1.362e-01 5.277e-05 1.453e-05 1.329e-04 -1.000 3.091e-04 3.743 4.071 4.278 3.852 3.546 3.249 2.889 2.593 2.566
0.00049103 -1.50000 10.14613 0.7587636709 2.4033970833    0.758  0.450  3.7902  3.980    2  0.000  0.529     0.00     0.00 -1 -4.13e-13      0.00 8.632e-01 1.365e-01 5.293e-05 1.458e-05 1.333e-04 -1.000 3.137e-04 3.646 3.992 4.195 3.757 3.444 3.140 2.770 2.465 2.436
0.00049103 -1.50000 10.14613 0.7604919076 2.4040780067    0.759  0.484  3.7850  3.927    2  0.000  0.530     0.00     0.00 -1 -4.73e-13      0.00 8.608e-01 1.389e-01 5.386e-05 1.483e-05 1.356e-04 -1.000 3.172e-04 3.561 3.932 4.129 3.676 3.353 3.041 2.659 2.346 2.314
0.00049103 -1.50000 10.14613 0.7618408203 2.4046070576    0.761  0.514  3.7791  3.874    2  0.000  0.530     0.00     0.00 -1 -5.39e-13      0.00 8.533e-01 1.464e-01 5.652e-05 1.556e-05 1.422e-04 -1.000 3.207e-04 3.485 3.884 4.076 3.605 3.272 2.950 2.555 2.231 2.195
0.00049103 -1.50000 10.14613 0.7629254460 2.4050307274    0.762  0.541  3.7731  3.823    2  0.000  0.531     0.00     0.00 -1 -6.08e-13      0.00 8.352e-01 1.645e-01 6.264e-05 1.722e-05 1.572e-04 -1.000 3.261e-04 3.417 3.851 4.033 3.543 3.198 2.867 2.458 2.124 2.084
0.00049103 -1.50000 10.14613 0.7638334036 2.4053843021    0.762  0.567  3.7666  3.771    2  0.000  0.533     0.00     0.00 -1 -6.85e-13      0.00 8.139e-01 1.857e-01 6.907e-05 1.896e-05 1.728e-04 -1.000 3.838e-04 3.352 3.826 3.996 3.485 3.128 2.787 2.362 2.016 1.972
0.00049103 -1.50000 10.14613 0.7646328211 2.4056949615    0.763  0.594  3.7599  3.718    2  0.000  0.534     0.00     0.00 -1  -1.8e-20      0.00 7.981e-01 2.015e-01 7.369e-05 2.019e-05 1.839e-04 -1.000 4.380e-04 3.285 3.800 3.959 3.425 3.056 2.704 2.264 1.906 1.858
0.00049103 -1.50000 10.14613 0.7653408647 2.4059693813    0.764  0.624  3.7539  3.665    2  0.000  0.535     0.00     0.00 -1 -7.79e-25      0.00 7.869e-01 2.126e-01 7.689e-05 2.105e-05 1.915e-04 -1.000 4.387e-04 3.210 3.770 3.913 3.359 2.978 2.616 2.162 1.794 1.741
0.00049103 -1.50000 10.14613 0.7660409212 2.4062402248    0.765  0.662  3.7482  3.604    2  0.000  0.536     0.00     0.00 -1 -1.45e-24      0.00 7.792e-01 2.204e-01 7.911e-05 2.165e-05 1.969e-04 -1.000 4.121e-04 3.114 3.714 3.845 3.271 2.880 2.509 2.041 1.663 1.606
0.00049103 -1.50000 10.14613 0.7665927410 2.4064533710    0.765  0.701  3.7444  3.551    2  0.000  0.536     0.00     0.00 -1  -2.4e-24      0.00 7.748e-01 2.248e-01 8.034e-05 2.197e-05 1.998e-04 -1.000 4.380e-04 3.018 3.648 3.768 3.182 2.784 2.407 1.929 1.544 1.485
0.00049103 -1.50000 10.14613 0.7669695616 2.4065985680    0.765  0.730  3.7421  3.512    2  0.000  0.536     0.00     0.00 -1  -3.4e-24      0.00 7.723e-01 2.273e-01 8.102e-05 2.215e-05 2.014e-04 -1.000 3.960e-04 2.945 3.591 3.706 3.113 2.710 2.329 1.846 1.457 1.396
0.00049103 -1.50000 10.14613 0.7671362162 2.4066627026    0.766  0.745  3.7413  3.494    2  0.000  0.536     0.00     0.00 -1 -3.98e-24      0.00 7.714e-01 2.281e-01 8.124e-05 2.221e-05 2.020e-04 -1.000 4.283e-04 2.908 3.561 3.673 3.077 2.674 2.291 1.806 1.415 1.353
0.00049103 -1.50000 10.14613 0.7675836682 2.4068350792    0.766  0.786  3.7391  3.445    3  0.000  0.536     0.00     0.00 -1 -6.09e-24      0.00 7.691e-01 2.304e-01 8.181e-05 2.236e-05 2.033e-04 -1.000 4.832e-04 2.806 3.477 3.582 2.979 2.572 2.186 1.695 1.299 1.236
0.00049103 -1.50000 10.14613 0.7680733800 2.4070231915    0.767  0.834  3.7371  3.389    3  0.000  0.537     0.00     0.00 -1 -9.78e-24      0.00 7.667e-01 2.328e-01 8.233e-05 2.250e-05 2.045e-04 -1.000 4.496e-04 2.685 3.376 3.473 2.863 2.452 2.062 1.565 1.164 1.100
0.00049103 -1.50000 10.14613 0.7684895396 2.4071829319    0.767  0.878  3.7354  3.338    3  0.000  0.537     0.00     0.00 -1 -1.47e-23      0.00 7.649e-01 2.347e-01 8.270e-05 2.260e-05 2.054e-04 -1.000 4.413e-04 2.575 3.281 3.371 2.756 2.342 1.950 1.448 1.043 0.978
0.00049103 -1.50000 10.14613 0.7688874602 2.4073355198    0.767  0.923  3.7339  3.288    3  0.000  0.537     0.00     0.00 -1 -2.19e-23      0.00 7.632e-01 2.364e-01 8.301e-05 2.269e-05 2.062e-04 -1.000 4.821e-04 2.463 3.183 3.267 2.647 2.230 1.836 1.329 0.919 0.855
0.00049103 -1.50000 10.14613 0.7692919970 2.4074902534    0.768  0.972  3.7324  3.232    3  0.000  0.537     0.00     0.00 -1 -3.31e-23      0.00 7.615e-01 2.381e-01 8.327e-05 2.276e-05 2.068e-04 -1.000 4.817e-04 2.339 3.073 3.151 2.526 2.107 1.711 1.199 0.786 0.720
0.00049103 -1.50000 10.14613 0.7696639895 2.4076325893    0.768  1.021  3.7309  3.178    3  0.000  0.537     0.00     0.00 -1 -4.87e-23      0.00 7.599e-01 2.396e-01 8.347e-05 2.283e-05 2.074e-04 -1.000 4.489e-04 2.217 2.964 3.036 2.407 1.986 1.586 1.070 0.653 0.587
